Episode no = 450; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.94, win percentage = 0.0, 2022-05-01 08:24:50
Episode no = 460; won: False; Q(s,a) = 33.40460983879364; reward = -465.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2022-05-01 08:25:01
Episode no = 470; won: False; Q(s,a) = 35.94169411977472; reward = -429.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2022-05-01 08:25:19
Episode no = 480; won: False; Q(s,a) = 32.57410868018834; reward = -477.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2022-05-01 08:25:30
Episode no = 490; won: False; Q(s,a) = 37.94511027634173; reward = -300.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2022-05-01 08:25:48
Episode no = 500; won: False; Q(s,a) = nan; reward = -493.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2022-05-01 08:26:03
Episode no = 510; won: False; Q(s,a) = 38.526255524406984; reward = -443.0; and epsilon = 0.9319999999999999, win percentage = 0.0, 2022-05-01 08:26:33
Episode no = 520; won: False; Q(s,a) = 39.41952407575908; reward = -476.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2022-05-01 08:26:41
Episode no = 530; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2022-05-01 08:26:48
Episode no = 540; won: False; Q(s,a) = 42.56152606887677; reward = -485.0; and epsilon = 0.928, win percentage = 0.0, 2022-05-01 08:27:00
Episode no = 550; won: False; Q(s,a) = nan; reward = -487.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2022-05-01 08:27:12
Episode no = 560; won: False; Q(s,a) = 44.86153631653814; reward = -444.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2022-05-01 08:27:25
Episode no = 570; won: False; Q(s,a) = 39.441394416757326; reward = -472.0; and epsilon = 0.924, win percentage = 0.0, 2022-05-01 08:27:41
Episode no = 580; won: False; Q(s,a) = 42.384975055316026; reward = -408.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2022-05-01 08:27:51
Episode no = 590; won: False; Q(s,a) = 26.152792806896606; reward = -458.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2022-05-01 08:28:07
Episode no = 600; won: False; Q(s,a) = 37.90907886148614; reward = -453.0; and epsilon = 0.92, win percentage = 0.0, 2022-05-01 08:28:27
Episode no = 610; won: False; Q(s,a) = 45.93495381898975; reward = -458.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2022-05-01 08:28:39
Episode no = 620; won: False; Q(s,a) = 29.12796283566572; reward = -460.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2022-05-01 08:28:49
Episode no = 630; won: False; Q(s,a) = 49.55836725137794; reward = -490.0; and epsilon = 0.916, win percentage = 0.0, 2022-05-01 08:29:07
Episode no = 640; won: False; Q(s,a) = 48.214165478032896; reward = -467.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2022-05-01 08:29:17
Episode no = 650; won: False; Q(s,a) = 47.498133428061585; reward = -483.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2022-05-01 08:29:30
Episode no = 660; won: False; Q(s,a) = 39.094207893605045; reward = -442.0; and epsilon = 0.912, win percentage = 0.0, 2022-05-01 08:29:40
Episode no = 670; won: False; Q(s,a) = 35.68928438783087; reward = -483.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2022-05-01 08:29:50
Episode no = 680; won: False; Q(s,a) = 41.37409014474633; reward = -447.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2022-05-01 08:30:01
Episode no = 690; won: False; Q(s,a) = 48.444430975671736; reward = -250.0; and epsilon = 0.908, win percentage = 0.0, 2022-05-01 08:30:11
Episode no = 700; won: False; Q(s,a) = 47.12472391255219; reward = -460.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2022-05-01 08:30:21
Episode no = 710; won: False; Q(s,a) = 48.944011024377296; reward = -490.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2022-05-01 08:30:33
Episode no = 720; won: False; Q(s,a) = 56.75086918684041; reward = -412.0; and epsilon = 0.904, win percentage = 0.0, 2022-05-01 08:30:45
Episode no = 730; won: False; Q(s,a) = 51.98196529945494; reward = -459.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2022-05-01 08:30:56
Episode no = 740; won: False; Q(s,a) = 46.143820939117276; reward = -447.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2022-05-01 08:31:19
Episode no = 750; won: False; Q(s,a) = 57.47352337485122; reward = -446.0; and epsilon = 0.9, win percentage = 0.0, 2022-05-01 08:31:40
Episode no = 760; won: False; Q(s,a) = 15.167833826999722; reward = -427.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2022-05-01 08:32:03
Episode no = 770; won: False; Q(s,a) = 48.17486886048697; reward = -441.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2022-05-01 08:32:12
Episode no = 780; won: False; Q(s,a) = 56.14271475985963; reward = -397.0; and epsilon = 0.896, win percentage = 0.0, 2022-05-01 08:32:28
Episode no = 790; won: False; Q(s,a) = 51.089862097952455; reward = -431.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2022-05-01 08:32:36
Episode no = 800; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2022-05-01 08:32:49
Episode no = 810; won: False; Q(s,a) = 60.99995388418071; reward = -484.0; and epsilon = 0.892, win percentage = 0.0, 2022-05-01 08:33:03
Episode no = 820; won: False; Q(s,a) = 54.941532471223915; reward = -407.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2022-05-01 08:33:17
Episode no = 830; won: False; Q(s,a) = 56.40215624017036; reward = -459.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2022-05-01 08:33:36
Episode no = 840; won: False; Q(s,a) = 62.325354884438596; reward = -454.0; and epsilon = 0.888, win percentage = 0.0, 2022-05-01 08:34:02
Episode no = 850; won: False; Q(s,a) = 57.03277047399019; reward = -436.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2022-05-01 08:34:17
Episode no = 860; won: False; Q(s,a) = 55.81173863260443; reward = -387.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2022-05-01 08:34:29
Episode no = 870; won: False; Q(s,a) = 61.88335407788358; reward = -350.0; and epsilon = 0.884, win percentage = 0.0, 2022-05-01 08:34:41
Episode no = 880; won: False; Q(s,a) = 64.14284817040509; reward = -408.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2022-05-01 08:34:54
Episode no = 890; won: False; Q(s,a) = 38.974812830862604; reward = -487.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2022-05-01 08:35:09
Episode no = 900; won: False; Q(s,a) = 65.25688265557943; reward = -467.0; and epsilon = 0.88, win percentage = 0.0, 2022-05-01 08:35:28
Episode no = 910; won: False; Q(s,a) = 69.91320356255844; reward = -378.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2022-05-01 08:35:48
Episode no = 920; won: False; Q(s,a) = 55.65042256776777; reward = -447.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2022-05-01 08:36:04
Episode no = 930; won: False; Q(s,a) = 70.24484641824057; reward = -456.0; and epsilon = 0.876, win percentage = 0.0, 2022-05-01 08:36:15
Episode no = 940; won: False; Q(s,a) = 54.86072916350759; reward = -446.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2022-05-01 08:36:32
Episode no = 950; won: False; Q(s,a) = 60.328390660846615; reward = -443.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2022-05-01 08:36:41
Episode no = 960; won: False; Q(s,a) = 71.38573635547745; reward = -354.0; and epsilon = 0.872, win percentage = 0.0, 2022-05-01 08:36:59
Episode no = 970; won: False; Q(s,a) = 72.82333766038148; reward = -471.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2022-05-01 08:37:18
Episode no = 980; won: False; Q(s,a) = nan; reward = -469.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2022-05-01 08:37:28
Episode no = 990; won: False; Q(s,a) = 72.24626273165156; reward = -286.0; and epsilon = 0.868, win percentage = 0.0, 2022-05-01 08:37:43
Episode no = 1000; won: False; Q(s,a) = 58.08749163720261; reward = -409.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2022-05-01 08:37:57
Episode no = 1010; won: False; Q(s,a) = 64.69206637876819; reward = -443.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2022-05-01 08:38:07
Episode no = 1020; won: False; Q(s,a) = 62.16076253967073; reward = -362.0; and epsilon = 0.864, win percentage = 0.0, 2022-05-01 08:38:20
